c2WVPQXP7NGvZVfUV9p9vA,japanese,Little Tokyo,4,2.5,0
6TCMYUyT45aj-89fYJOiyw,italian,Porta,930,3.0,1
U3KLPBFdWlkqdrywf1lvug,mexican,Tacos San Lucas,3,3.5,0
zn4PW7NVdgCvg7vxVXQ_Qg,british,PS 450,982,3.5,1
qAGqfKduzNz76nQXSplbfQ,italian,Williamsburg Pizza,10,3.5,0
zOmgO8Di9Ui2bQHqSarUKg,italian,John's of Times Square,1970,3.5,1
QVWmn5jmy_TPmg0G71Dk5g,british,Sea,2832,3.5,1
uCsyRxfIfiRqQQuK_JlfZA,american,Harlem Tavern,1150,3.5,1
VqawuFujOKEIvFAKE3nqWw,american,1605 Bistro,3,3.5,0
Ad3dUoLatOdNtB4LxfmmWg,japanese,Yakitori Taisho,1535,3.5,1
Pm9g4v6bpq9_OEigK0jHYA,chinese,La Unica Caridad Restaurant,7,3.5,0
Jhx4OoFjXFp0YxqbW0KQog,american,Butter Midtown,899,3.5,1
YfpFRkOx6rFcWsuvQpyMHA,japanese,Sapporo 46,906,3.5,1
Sg2IBsDJ_8BsO48IW2nBHA,chinese,Sea Star,3,3.5,0
239gkHS4sotgrs7cK7QT-w,chinese,Empire Kitchen,3,3.5,0
e9nKK7tldpI2o_9eHZ2y6g,mexican,Masa y Agave,6,3.5,0
puIxzUYl8hhVfWJRaMsZcA,american,The Mercer Kitchen,1514,3.5,1
CFUaimcfs4q8Y7vCkxraHg,chinese,Gordon Chen Kitchen,4,3.5,0
dfm69NWJMqvLbQBKlaFd7w,chinese,Hung Chow Restaurant,4,3.0,0
hmpim7DjbEBiNPKSlWpcTQ,japanese,Aizumi Sushi,5,3.5,0
eA64YkTdF9QZwrPtXBBSkw,japanese,Tokyo Market,6,3.5,0
NMuZQuK6UU32VlSF6khh0w,british,Stout NYC,909,3.5,1
SNhDVaf_n7VDZcfry8mYdA,chinese,The Bao,1025,3.5,1
EZZh8594pRwAM1e_WVGeFA,mexican,Organic Mexican Food,4,3.5,0
nMWqlWid2YfDeutioit_0w,american,Bill's Bar & Burger,1104,3.5,1
rV3w5k9rvGl03XP4Fk2Puw,chinese,Lucky House,3,3.0,0
2IHGMQVQ7zmb89WyiiH1AQ,mexican,Zengo,900,3.5,1
M1VHR29gMNs3EavDXdE_PA,chinese,Momos & Buns,3,3.5,0
1vNfnjJjLSnXQxFUIqUocg,japanese,Kobeyaki,2,3.5,0
T8WfkzuVi96qCpj1tWjlxw,british,Spice,1469,3.5,1
S8OKQ5S40oZ1Rr5RbC0jdg,italian,Motorino,1058,3.5,1
77EedCTJY1biWIYSzAulCQ,american,J.G. Melon,1165,3.5,1
OpOwJYqJRgRnoBKKPYwdTQ,chinese,Double Dragon,5,3.0,0
LevaZe9HJHteg4nSp-pt2g,japanese,Blue Fin,944,3.5,1
M1YYZ9cTVuMXLji_XF6rzg,mexican,Dos Caminos,1105,3.5,1
6zM0c7vvoddgza_qvKkATw,chinese,Golden Unicorn,1632,3.5,1
uuDvk4EsRUkeTj4jVKJOpw,chinese,Rue 57,1038,3.5,1
uaFHoq-a5XqxF-bsOK9_Qg,chinese,Real Kung Fu Little Steamed Buns Ramen,902,3.5,1
SMGsYvfRNIlJc8ZgUjXQow,british,Mac Menamin's Pub,9,2.0,0
j4dGkqL-OK9YH8Sl2eOWEg,mexican,5 Burro Cafe,1256,3.5,1
K144ThGmoIjX6Wh5-_Rn4Q,american,Ellen's Stardust Diner,1623,3.5,1
P8YbK6_2TnXHojrs0ycisg,japanese,Ninja New York,1627,3.5,1
X5wyRbVV7x2OW-FxH5OokQ,american,Ambassador Grill & Lounge,5,3.5,0
e4Pdsm59ErXJvFUmXIu9AQ,american,Kind,2,3.0,0
NgD-6ogFGc_c4z5_Ur4k2g,thailand,Dhaba Indian Cuisine,1441,3.5,1
JRmQRFEEnSUdAcesHun9AQ,japanese,ICHIRAN - Brooklyn,996,3.5,1
Qc_JU61t38zIfNvArgbX0g,american,City Slickers Diner,5,3.0,0
dz88dkY9JaoXe2sF8MSjVQ,japanese,Benihana,1087,3.0,1
3LNcgFUGdwJil-KDQPZmdQ,british,The Spotted Pig,2881,3.5,1
zxdsVR_hHUzhBFfus4yd7A,mexican,Dos Caminos,952,3.0,1
5jWtmwlNbXLcHDU9ka2iQQ,british,Trafalgar Pub,6,2.5,0
rYw5rQbWRX9buZHZbxqWdA,chinese,Congee Village,1464,3.5,1
NlsxuhV6CUONOyI7xk7-mw,british,Hill Country Barbecue Market,2086,3.5,1
d7YbQzGlmawMGAzUHzZvuw,mexican,Tacombi - Nolita,1040,3.5,1
7VqMGK9uwi0vKqOjdKyIUA,japanese,Catch NYC,2012,3.5,1
0YE7vfpxTAiWvis8kpFGYw,japanese,New York Roll'n Katsu,2,3.0,0
vJpfMVBybyEF8p_qXWs0ug,american,Sarabeth's West,875,3.5,1
hGWYNCUmDLk_H_Mu3oV9HA,mexican,Dos Caminos,1478,3.0,1
EYH4FiA2phvYg73Jjw1KSA,american,Friend of A Farmer,1204,3.5,1
5a1e4YegoUkikCuU208w8w,chinese,De Yong Xing,1,3.0,0
SUX3TMbaCOUZeR0CTHcqnQ,chinese,Khalil Halal Chinese,3,2.5,0
HhY7QDRu7EwXTDY4WT1wSA,italian,Serra at La Birreria,1179,3.0,1
JXTQTVH6ItQek5vmiDYYIA,japanese,Teriyaki One,8,3.5,0
QObHX0yR6zd0WfksRDbJTA,italian,Becco,2664,3.5,1
qiw9Kgsu5YVGrQL_OeDmcQ,japanese,Hide-Chan Ramen,1301,3.5,1
difsr3Yw5VVY0FyIu6Un4g,mexican,The Garret Nolita,6,3.0,0
